price,month,year
143,2,1987
143,3,1987
143,4,1987
142,5,1987
143,6,1987
142,7,1987
142,8,1987
142,9,1987
144,10,1987
145,11,1987
145,12,1987
145,1,1988
145,2,1988
145,3,1988
147,4,1988
148,5,1988
148,6,1988
148,7,1988
148,8,1988
150,9,1988
149,10,1988
150,11,1988
150,12,1988
151,1,1989
150,2,1989
150,3,1989
150,4,1989
150,5,1989
150,6,1989
149,7,1989
150,8,1989
150,9,1989
152,10,1989
153,11,1989
153,12,1989
153,1,1990
156,2,1990
156,3,1990
162,4,1990
165,5,1990
166,6,1990
166,7,1990
166,8,1990
166,9,1990
168,10,1990
169,11,1990
170,12,1990
171,1,1991
170,2,1991
170,3,1991
189,4,1991
191,5,1991
191,6,1991
191,7,1991
191,8,1991
191,9,1991
191,10,1991
194,11,1991
196,12,1991
197,1,1992
197,2,1992
197,3,1992
209,4,1992
209,5,1992
209,6,1992
209,7,1992
209,8,1992
209,9,1992
209,10,1992
211,11,1992
214,12,1992
215,1,1993
215,2,1993
215,3,1993
223,4,1993
224,5,1993
224,6,1993
225,7,1993
227,8,1993
228,9,1993
229,10,1993
229,11,1993
233,12,1993
239,1,1994
240,2,1994
240,3,1994
240,4,1994
241,5,1994
242,6,1994
242,7,1994
242,8,1994
242,9,1994
241,10,1994
241,11,1994
245,12,1994
252,1,1995
256,2,1995
256,3,1995
259,4,1995
260,5,1995
260,6,1995
260,7,1995
260,8,1995
260,9,1995
259,10,1995
259,11,1995
266,12,1995
271,1,1996
269,2,1996
270,3,1996
272,4,1996
273,5,1996
273,6,1996
273,7,1996
274,8,1996
274,9,1996
274,10,1996
274,11,1996
279,12,1996
286,1,1997
287,2,1997
288,3,1997
292,4,1997
293,5,1997
294,6,1997
294,7,1997
297,8,1997
298,9,1997
299,10,1997
299,11,1997
305,12,1997
313,1,1998
313,2,1998
314,3,1998
318,4,1998
319,5,1998
320,6,1998
320,7,1998
321,8,1998
321,9,1998
321,10,1998
321,11,1998
330,12,1998
337,1,1999
338,2,1999
350,3,1999
356,4,1999
356,5,1999
358,6,1999
366,7,1999
366,8,1999
366,9,1999
367,10,1999
367,11,1999
367,12,1999
367,1,2000
371,2,2000
371,3,2000
395,4,2000
395,5,2000
396,6,2000
396,7,2000
397,8,2000
401,9,2000
401,10,2000
402,11,2000
402,12,2000
401,1,2001
405,2,2001
410,3,2001
410,4,2001
412,5,2001
412,6,2001
412,7,2001
412,8,2001
416,9,2001
417,10,2001
417,11,2001
417,12,2001
417,1,2002
408,2,2002
408,3,2002
408,4,2002
413,5,2002
413,6,2002
416,7,2002
415,8,2002
418,9,2002
418,10,2002
419,11,2002
419,12,2002
419,1,2003
416,2,2003
416,3,2003
422,4,2003
423,5,2003
424,6,2003
429,7,2003
429,8,2003
429,9,2003
429,10,2003
429,11,2003
429,12,2003
