"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000004","East Midlands region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.8371804006413","13.9556405884162","15.7187202128664","","","568750.5204898989","","","Cannot be calculated","Worse","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E06000015","Derby","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.7379","13.8657","19.6101","","","33044.5838","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E10000007","Derbyshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.6021","10.5285","14.6756","","","81715.5751","","","Cannot be calculated","Similar","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E06000016","Leicester","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.4467","12.4831","18.4102","","","41727.9387","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E10000018","Leicestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","11.9822","9.8094","14.1549","","","67614.8184","","","Cannot be calculated","Similar","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E10000019","Lincolnshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.3177","12.9266","17.7088","","","94175.2276","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E10000021","Northamptonshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.3654","13.7953","18.9355","","","95180.6403","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E06000018","Nottingham","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","20.8927","18.0745","23.7108","","","55120.8818","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000004","East Midlands region","E10000024","Nottinghamshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.381","12.0838","16.6783","","","95012.2055","","","Cannot be calculated","Similar","Similar","20190000","",""
