"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000006","East of England region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.7165413702545","12.941774371912","14.491308368597","","","670686.0643211696","","","Cannot be calculated","Similar","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000055","Bedford","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","10.7554","7.3485","14.1623","","","14261.9964","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E10000003","Cambridgeshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.1963","10.4697","15.9229","","","68239.3243","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000056","Central Bedfordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.7038","10.6674","16.7402","","","30831.1601","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E10000012","Essex","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.1873","11.5192","14.8553","","","154953.6985","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E10000015","Hertfordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","10.9655","9.1763","12.7547","","","100549.5706","","","Cannot be calculated","Better","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000032","Luton","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.8442","14.5664","19.122","","","26203.7344","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E10000020","Norfolk","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.5343","12.3074","16.7613","","","106987.8307","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000031","Peterborough","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","18.8316","15.8592","21.8041","","","28327.6509","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000033","Southend-on-Sea","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.2342","11.1469","15.3215","","","18976.1665","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E10000029","Suffolk","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.0836","13.6093","18.5579","","","97749.4998","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000006","East of England region","E06000034","Thurrock","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.5438","14.9028","20.1848","","","22752.7539","","","Cannot be calculated","Worse","Worse","20190000","",""
