"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000008","South East region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.1703541412955","11.538739796513","12.8019684860781","","","877584.5211551096","","","Cannot be calculated","Better","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E06000036","Bracknell Forest","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","11.8619","9.5324","14.1915","","","11169.796","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E06000043","Brighton and Hove","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.4997","14.5776","20.4217","","","42107.3359","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E10000002","Buckinghamshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","11.3406","9.0888","13.5924","","","47430.8096","","","Cannot be calculated","Better","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E10000011","East Sussex","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.6439","9.995","15.2929","","","57010.3295","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E10000014","Hampshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","9.9884","8.4987","11.4781","","","109693.6198","","","Cannot be calculated","Better","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E06000046","Isle of Wight","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.4373","12.2725","16.6022","","","16896.4537","","","Cannot be calculated","Similar","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E10000016","Kent","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.6852","11.384","15.9864","","","169383.5091","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000008","South East region","E06000035","Medway","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.0633","11.206","16.9206","","","30035.9514","","","Cannot be calculated","Similar","Similar","20190000","",""
