"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000009","South West region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.0241071815423","13.319997763638","14.7282165994467","","","633499.6341849933","","","Cannot be calculated","Similar","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000022","Bath and North East Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.0439","10.4564","15.6314","","","20483.5232","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000058","Bournemouth, Christchurch and Poole","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.8635","11.8431","15.8839","","","44330.3977","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000023","Bristol","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","17.9715","15.2256","20.7173","","","66358.0265","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000052","Cornwall","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.1674","12.6447","17.6902","","","69931.3777","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E10000008","Devon","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.4952","11.2454","15.7451","","","88461.3322","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000059","Dorset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","10.1499","7.7553","12.5444","","","31529.5099","","","Cannot be calculated","Better","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E10000013","Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.9601","10.7252","15.1949","","","65857.8741","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000053","Isles of Scilly","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","","","","","","","","<span class=""tooltipValueNote"">* Value suppressed for disclosure control due to small count</span>","Cannot be calculated","Not compared","Not compared","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000024","North Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","11.25","8.9965","13.5035","","","19275.8892","","","Cannot be calculated","Better","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000026","Plymouth","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","18.517","15.8016","21.2324","","","38737.9018","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E10000027","Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.3918","11.7509","17.0327","","","64912.1019","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000025","South Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","11.2015","8.7842","13.6189","","","25298.6895","","","Cannot be calculated","Better","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000030","Swindon","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.0965","10.7286","15.4644","","","22504.5055","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000027","Torbay","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.9859","12.6366","17.3353","","","16590.1808","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000009","South West region","E06000054","Wiltshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.6023","12.1675","17.0372","","","57527.3148","","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","","","E92000001","England","England","Persons","18+ yrs","","","2019/20","14.3168637766359","14.2349912890269","14.3987362642448","","","","703039","","Cannot be calculated","","","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","","","E12000009","South West region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","13.2227478477474","12.9619128358119","13.483582859683","","","","64790","","Cannot be calculated","Better","","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000022","Bath and North East Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","10.7715","9.5375","12.0054","","","","2425","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000058","Bournemouth, Christchurch and Poole","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","13.9431","12.8763","15.01","","","","4050","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000023","Bristol","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","16.6669","15.505","17.8288","","","","3952","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000052","Cornwall","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","14.2662","13.4366","15.0957","","","","6828","","Cannot be calculated","Similar","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E10000008","Devon","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","12.7993","12.1621","13.4365","","","","10559","","Cannot be calculated","Better","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000059","Dorset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.7076","10.8373","12.578","","","","5242","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E10000013","Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","12.3024","11.5918","13.0131","","","","8207","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000053","Isles of Scilly","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","6.7995","2.2765","11.3225","","","","119","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000024","North Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.1404","9.6327","12.6481","","","","1673","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000026","Plymouth","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","16.0363","14.6613","17.4112","","","","2736","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E10000027","Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","13.6362","12.8596","14.4127","","","","7502","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000025","South Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.078","9.9192","12.2369","","","","2818","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000030","Swindon","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","14.3268","12.9102","15.7433","","","","2350","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000027","Torbay","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","14.8175","12.6827","16.9522","","","","1064","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000009","South West region","E06000054","Wiltshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.3141","10.4584","12.1697","","","","5265","","Cannot be calculated","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E92000001","England","England","Persons","15+ yrs","","","2019/20","16.46453125710651","16.454265390592454","16.474802265510665","","","8250060","50108077","","Decreasing and getting better","","","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","","","E12000009","South West region","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","15.902123564405226","15.869938845100062","15.934361192763017","","","787369","4951345","","Decreasing and getting better","Better","","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000022","Bath and North East Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","12.829","12.6764","12.9831","","","23447","182766","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000058","Bournemouth, Christchurch and Poole","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","17.2108","17.0921","17.3302","","","66419","385914","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000023","Bristol","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","19.7223","19.607","19.8381","","","89814","455393","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000052","Cornwall","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","17.1765","17.0716","17.2819","","","84913","494355","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E10000008","Devon","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","14.1294","14.0472","14.212","","","96981","686376","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000059","Dorset","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","13.4869","13.3673","13.6074","","","41941","310976","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E10000013","Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","14.8952","14.8016","14.9894","","","82280","552392","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000053","Isles of Scilly","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","18.1345","16.5495","19.8351","","","383","2112","","Cannot be calculated","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000024","North Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","15.3665","15.2037","15.5306","","","28739","187024","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000026","Plymouth","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","18.9161","18.7618","19.0713","","","46557","246124","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E10000027","Somerset","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","16.6446","16.5408","16.7489","","","81913","492129","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000025","South Gloucestershire","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","13.9416","13.7991","14.0854","","","31348","224852","","Decreasing and getting better","Better","Better","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000030","Swindon","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","16.0341","15.8708","16.1987","","","30864","192490","","Decreasing and getting better","Better","Similar","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000027","Torbay","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","18.8051","18.5904","19.0216","","","23732","126200","","Decreasing and getting better","Worse","Worse","20190000","",""
"91547","Smoking prevalence in adults (15+) - current smokers (QOF)","E12000009","South West region","E06000054","Wiltshire","Upper tier local authorities (4/19 - 3/20)","Persons","15+ yrs","","","2019/20","14.0786","13.9728","14.1851","","","58038","412242","","Decreasing and getting better","Better","Better","20190000","",""
"92534","Smoking Prevalence in adults (18+) - ex smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","25.6719457720423","25.3985930209688","25.9452985231158","","","11363274.247825967","","","Cannot be calculated","","","20190000","",""
