"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000005","West Midlands region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.0538717680569","13.3544438385848","14.753299697529","","","651289.303791694","","","Cannot be calculated","Similar","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000025","Birmingham","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.7893","12.6769","16.9017","","","126363.4099","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000026","Coventry","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.0719","12.5431","17.6008","","","43973.2994","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000027","Dudley","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.5046","10.8179","16.1914","","","34038.6972","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E06000019","Herefordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.2712","10.0491","14.4932","","","19235.4543","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000028","Sandwell","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.3455","12.8227","17.8683","","","37750.1075","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E06000051","Shropshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.7129","11.301","16.1249","","","36081.9231","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000029","Solihull","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.5722","10.2335","14.9108","","","21224.9486","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E10000028","Staffordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.8766","11.6576","16.0955","","","98437.055","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E06000021","Stoke-on-Trent","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","18.2483","15.6703","20.8262","","","36216.0741","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E06000020","Telford and Wrekin","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.3846","12.8005","17.9687","","","21343.6131","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000030","Walsall","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.0345","12.2273","17.8418","","","32550.9427","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E10000031","Warwickshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","13.2872","10.9543","15.62","","","61149.2311","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E08000031","Wolverhampton","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.0993","12.4859","17.7127","","","30361.8648","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000005","West Midlands region","E10000034","Worcestershire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","10.813","8.8362","12.7899","","","51570.1982","","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","","","E92000001","England","England","Persons","18+ yrs","","","2019/20","14.3168637766359","14.2349912890269","14.3987362642448","","","","703039","","Cannot be calculated","","","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","","","E12000005","West Midlands region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","14.228420424018","13.9873689905704","14.4694718574656","","","","80685","","Cannot be calculated","Similar","","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E08000025","Birmingham","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","16.1061","15.5045","16.7077","","","","14343","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E08000026","Coventry","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","15.6085","14.5992","16.6177","","","","4968","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E08000027","Dudley","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","13.9595","12.9585","14.9604","","","","4605","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E06000019","Herefordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","13.6576","12.259","15.0562","","","","2316","","Cannot be calculated","Similar","Similar","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E08000028","Sandwell","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","15.3663","14.3986","16.334","","","","5335","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E06000051","Shropshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.5542","10.6238","12.4845","","","","4536","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E08000029","Solihull","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","11.1772","9.8951","12.4594","","","","2320","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E10000028","Staffordshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","12.5504","11.9756","13.1252","","","","12760","","Cannot be calculated","Better","Better","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E06000021","Stoke-on-Trent","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","18.0098","16.7799","19.2397","","","","3750","","Cannot be calculated","Worse","Worse","20190000","",""
"92304","Smoking prevalence in adults (18+) - current smokers (GPPS)","E12000005","West Midlands region","E06000020","Telford and Wrekin","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019/20","14.7604","12.9403","16.5806","","","","1459","","Cannot be calculated","Similar","Similar","20190000","",""
