"Indicator ID","Indicator Name","Parent Code","Parent Name","Area Code","AreaName","Area Type","Sex","Age","Category Type","Category","Time period","Value","Lower CI 95.0 limit","Upper CI 95.0 limit","Lower CI 99.8 limit","Upper CI 99.8 limit","Count","Denominator","Value note","Recent Trend","Compared to England value or percentiles","Compared to parent value or percentiles","Time period Sortable","New data","Compared to goal"
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E92000001","England","England","Persons","18+ yrs","","","2019","13.8821327715042","13.6438650901795","14.120400452829","13.506492670605558","14.25777287240284","6144702.985432696","","","Cannot be calculated","","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","","","E12000003","Yorkshire and the Humber region","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.6961457032112","14.9822956059652","16.4099958004572","","","680118.0743180242","","","Cannot be calculated","Worse","","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000016","Barnsley","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","18.2875","15.5155","21.0595","","","35803.7618","","","Cannot be calculated","Worse","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000032","Bradford","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.5115","13.8422","19.1808","","","65582.8639","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000033","Calderdale","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","16.0869","13.6134","18.5603","","","26597.5516","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000017","Doncaster","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","19.0958","16.1325","22.059","","","46779.2557","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E06000011","East Riding of Yorkshire","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","12.1101","9.7661","14.4541","","","33681.7442","","","Cannot be calculated","Similar","Better","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E06000010","Kingston upon Hull","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","22.2221","18.8686","25.5756","","","44979.3237","","","Cannot be calculated","Worse","Worse","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000034","Kirklees","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","14.2768","11.9336","16.62","","","48497.3859","","","Cannot be calculated","Similar","Similar","20190000","",""
"92443","Smoking Prevalence in adults (18+) - current smokers (APS)","E12000003","Yorkshire and the Humber region","E08000035","Leeds","Upper tier local authorities (4/19 - 3/20)","Persons","18+ yrs","","","2019","15.2608","12.9323","17.5894","","","95184.3959","","","Cannot be calculated","Similar","Similar","20190000","",""
