Title,CPI INDEX 02.2 : TOBACCO 2015=100
CDID,D7CB
Source dataset ID,MM23
PreUnit,
Unit,"Index, base year = 100"
Release date,14/07/2021
Next release,18-Aug-21
Important notes,
1988,16.6
1989,17.1
1990,18.3
1991,20.9
1992,23.2
1993,25.1
1994,27
1995,28.8
1996,30.7
1997,33
1998,35.9
1999,40
2000,43.4
2001,45.8
2002,47.1
2003,48.8
2004,50.6
2005,52.8
2006,55.1
2007,58.1
2008,60.6
2009,63
2010,67.8
2011,75.3
2012,81.7
2013,88
2014,94.7
2015,100
2016,104.9
2017,111
2018,119.1
2019,125.7
2020,129.4
1988 Q1,16.3
1988 Q2,16.6
1988 Q3,16.6
1988 Q4,16.8
1989 Q1,17
1989 Q2,17
1989 Q3,17
1989 Q4,17.4
1990 Q1,17.4
1990 Q2,18.3
1990 Q3,18.5
1990 Q4,18.8
1991 Q1,19
1991 Q2,21.4
1991 Q3,21.4
1991 Q4,21.8
1992 Q1,22.1
1992 Q2,23.5
1992 Q3,23.5
1992 Q4,23.7
1993 Q1,24.1
1993 Q2,25.1
1993 Q3,25.4
1993 Q4,25.9
1994 Q1,26.8
1994 Q2,27
1994 Q3,27.1
1994 Q4,27.2
1995 Q1,28.4
1995 Q2,28.9
1995 Q3,28.9
1995 Q4,29.1
1996 Q1,30.3
1996 Q2,30.7
1996 Q3,30.8
1996 Q4,31.1
1997 Q1,32.2
1997 Q2,32.8
1997 Q3,33.2
1997 Q4,33.7
1998 Q1,35.2
1998 Q2,35.8
1998 Q3,36
1998 Q4,36.4
1999 Q1,38.4
1999 Q2,39.9
1999 Q3,40.7
1999 Q4,40.8
2000 Q1,41.1
2000 Q2,43.9
2000 Q3,44.2
2000 Q4,44.5
2001 Q1,45
2001 Q2,45.8
2001 Q3,46
2001 Q4,46.4
2002 Q1,46.4
2002 Q2,46.9
2002 Q3,47.5
2002 Q4,47.7
2003 Q1,47.9
2003 Q2,48.6
2003 Q3,49.4
2003 Q4,49.4
2004 Q1,49.4
2004 Q2,50.5
2004 Q3,51.2
2004 Q4,51.3
2005 Q1,51.8
2005 Q2,52.8
2005 Q3,52.9
2005 Q4,53.6
2006 Q1,53.7
2006 Q2,55.1
2006 Q3,55.8
2006 Q4,55.9
2007 Q1,57
2007 Q2,58.4
2007 Q3,58.4
2007 Q4,58.4
2008 Q1,59.3
2008 Q2,61
2008 Q3,61
2008 Q4,61.1
2009 Q1,62
2009 Q2,63.1
2009 Q3,63.4
2009 Q4,63.6
2010 Q1,66.4
2010 Q2,68.2
2010 Q3,68
2010 Q4,68.9
2011 Q1,71.4
2011 Q2,75.9
