QUOTE_DATE,ITEM_ID,ITEM_DESC,VALIDITY,SHOP_CODE,PRICE,INDICATOR_BOX,ORIG_INDICATOR_BOX,PRICE_RELATIVE,LOG_PRICE_RELATIVE,STRATUM_WEIGHT,STRATUM_TYPE,START_DATE,END_DATE,REGION,SHOP_TYPE,SHOP_WEIGHT,BASE_PRICE,BASE_VALIDITY,STRATUM_CELL
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14.04,,,1.101,0.096,5.72,1,201802,999999,2,1,1,12.75,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,13.9,,,1.104,0.099,5.72,1,201802,999999,2,1,1,12.59,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,14,,,1.099,0.094,5.72,1,201802,999999,2,1,1,12.74,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,807,14,,,1.089,0.086,5.72,1,201802,999999,2,1,2,12.85,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.096,0.092,5.72,1,201802,999999,2,1,3,12.68,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,5.72,1,201802,999999,2,1,1,12.85,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14.68,,,1.112,0.106,13.16,1,201802,999999,3,1,1,13.2,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,802,10.25,Q,Q,1.005,0.005,13.16,1,201802,999999,3,1,2,10.2,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,803,14,,,1.099,0.094,13.16,1,201802,999999,3,1,1,12.74,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,1,807,0,T,T,0,0,13.16,1,201802,999999,3,1,1,12.4,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,808,13.9,,,1.096,0.092,13.16,1,201802,999999,3,1,3,12.68,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,941,14,,,1.089,0.086,13.16,1,201802,999999,3,1,1,12.85,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,9,12.8,,,1.085,0.081,5.72,1,201802,999999,2,1,1,11.8,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,69,10,,,0.953,-0.048,13.16,1,201802,999999,3,1,1,10.49,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,4,10.5,,,1.01,0.01,13.16,1,201802,999999,3,1,1,10.4,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,44,13.9,,,1.096,0.092,13.16,1,201802,999999,3,1,1,12.68,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,3,10.6,,,1.019,0.019,5.72,1,201802,999999,2,1,1,10.4,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,10,14,,,1.102,0.097,5.72,1,201802,999999,2,2,1,12.7,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,53,13.9,,,1.084,0.08,5.72,1,201808,999999,2,1,1,12.828,4,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,38,14.15,,,1.088,0.085,5.72,1,201802,999999,2,1,1,13,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,56,14.5,,,1.074,0.071,5.72,1,201802,999999,2,2,1,13.5,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,32,14.09,,,1.085,0.081,13.16,1,201802,999999,3,1,1,12.99,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,28,14,,,1.085,0.082,13.16,1,201802,999999,3,1,1,12.9,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,37,14,,,1.082,0.079,13.16,1,201802,999999,3,1,1,12.94,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,77,10.25,,,1.005,0.005,13.16,1,201802,999999,3,1,1,10.2,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,22,13.69,,,1.074,0.071,5.72,1,201802,999999,2,1,1,12.75,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,19,13.99,,,1.037,0.036,5.72,1,201802,999999,2,2,1,13.49,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,32,14.5,,,1.075,0.072,5.72,1,201802,999999,2,2,1,13.49,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,45,13.9,,,1.087,0.083,13.16,1,201802,999999,3,1,1,12.79,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,36,13.5,,,1.039,0.039,13.16,1,201802,999999,3,2,1,12.99,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,32,14.2,,,1.092,0.088,13.16,1,201802,999999,3,1,1,13,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,62,14.55,,,1.101,0.096,13.16,1,201802,999999,3,1,1,13.22,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,7,11.15,,,1.072,0.07,5.72,1,201802,999999,2,1,1,10.4,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,75,16.25,,,1.062,0.06,5.72,1,201802,999999,2,2,1,15.3,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,42,11.99,,,1.091,0.087,5.72,1,201802,999999,2,2,1,10.99,3,2
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,66,13.65,,,1.083,0.08,13.16,1,201802,999999,3,1,1,12.6,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,52,13.5,,,1.07,0.068,13.16,1,201811,999999,3,1,1,12.616,4,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,59,14.49,,,1.074,0.072,13.16,1,201802,999999,3,1,1,13.49,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,80,14.31,,,1.106,0.101,13.16,1,201802,999999,3,1,1,12.94,3,3
201812,320206,HAND ROLLING TOBACCO PACK 30GM,3,801,14,,,1.116,0.109,12.58,1,201802,999999,5,1,1,12.55,3,5
